"交互ID","版本","端","组件/位置","触发者","前置状态","API operationId","OpenAPI状态","成功状态","失败反馈","最低权限","需求ID","门禁ID","实现状态"
"INT-A-074","1.8","Dashboard","订单列表与详情/可行动上下文","L1-L4 员工","具备订单 read 权限且对象在可信 scope","listAdminOrders;getAdminOrder","M14-US-01","优先展示公开编号、展示名、项目、中文状态、金额、相对和精确时间、阻塞与下一动作；技术详情默认折叠","缺字段显示未知而非伪造；UUID、原始枚举、minor units 和高级操作不覆盖主路径；403/404 不泄露对象","对应既有 order read/action 权限","SUP-UX-01;ACCESS-02","AT-SUX-006;AT-SUX-007","合同已冻结，运行时待开发"
"INT-A-075","1.8","Dashboard","客户 Profile/追加内部备注","L1-L4 员工","具备 customer_profile.note.append 且目标满足同一 customer scope predicate","appendAdminCustomerProfileNote","M6-US-04","客服填写 1-2000 字内部跟进备注并追加；成功后刷新内部信息时间线；只展示正文和时间，不展示作者身份","空白或超长备注拒绝；越权对象返回不泄露存在性的拒绝；既有备注无编辑或删除入口","L1_SUPPORT（已分配对象）；L2-L4（同 Guild）","PRF-01;ACCESS-02","AT-PRF-010","合同已冻结，运行时待开发"
"INT-A-076","1.8","Dashboard","订单详情/单席位改派陪玩","L1-L4 员工","L1 已认领订单任务或 L2+ 在同 Guild；目标 participant ACTIVE 且资金未捕获","updateAdminOrderParticipant(REASSIGN)","M10-US-03","在指定陪玩明细卡选择新陪玩并填写原因；只替换该 participantId 的陪玩，保留需求、项目、数量和客户价格，重置新陪玩就绪并按其规则重算分成","候选失效、已在本单、旧版本、已捕获或越权时整次拒绝；其他陪玩、订单总价和等额预留不变","L1_SUPPORT（已认领）；L2-L4（同 Guild）","ORD-04;FUND-06;EAR-02","AT-MULTI-010","合同已冻结，运行时待开发"
"INT-A-077","1.9","Dashboard","订单详情/独立退款","L2-L4 员工","存在可退款捕获；金额、订单版本与权限有效","refundOrder","现有","追加退款、消费与收益/返佣 Adjustment；订单不因退款自动改为 CANCELLED","金额超事实、旧版本、跨 Guild 或重复提交拒绝/幂等；原资金事实不覆盖","L2_SUPERVISOR（限额内）","DOP-01;FUND-06;AUD-02","AT-DOP-001","合同已冻结，运行时待开发"
"INT-A-078","1.9","Dashboard","订单详情/transcript 只读时间线","L1-L4 员工","L1 已认领订单任务或 L2+ 同 Guild","listAdminOrderTranscript","M15-US-01","分页展示消息创建、编辑、删除、回复关系和附件元数据；只读且按发生时间与事件 ID 稳定排序","不提供发送、编辑或删除；无任务 scope、跨 Guild 或未知订单不泄露","L1_SUPPORT（已认领）；L2-L4（同 Guild）","DOP-02;ACCESS-02","AT-DOP-002","合同已冻结，运行时待开发"
"INT-A-079","1.9","Dashboard","系统治理/Bot 配置","L3-L4 员工","具备 bot_config.read/manage 且 Actor Guild 有效","getBotConfig;validateBotConfigChange;updateBotConfig;testBotConfigDelivery","现有","管理频道、Role、时限、开关和模板；预检后携带短期 token 应用；频道可测试投递","版本冲突刷新；安全 Role 字段要求 L4+step-up；Dashboard 不自报 Guild","L3_OPERATIONS；安全字段 L4_ADMIN_OWNER","DOP-03;ACCESS-02","AT-DOP-003","合同已冻结，运行时待开发"
"INT-A-080","1.9","Dashboard","客户 Profile/钱包 Adjustment","L3-L4 员工","选择同一客户可纠错 WalletEntry 且钱包版本有效","createWalletAdjustment","现有","追加 ADJUSTMENT_CREDIT/DEBIT 并关联原流水；余额由 API 原子计算","不得提交余额；重复、跨客户、超额 debit 或旧版本拒绝且零写入","L3_OPERATIONS","DOP-04;FUND-06;AUD-02","AT-DOP-004","合同已冻结，运行时待开发"
"INT-A-081","1.9","Dashboard","陪玩详情/员工控制接单资格","L3-L4 员工","陪玩为 ACTIVE、PAUSED 或 SUSPENDED 且版本有效","setPlayerOperationalStatus","现有","员工设置 ACTIVE/PAUSED/SUSPENDED；PAUSED/SUSPENDED 禁止新候选池展示和报名；恢复后重新校验","陪玩端仍不提供在线或接单开关；presence 与 legacy availability 不作为报名门禁","L3_OPERATIONS","DOP-05;SEL-01;ACCESS-02","AT-DOP-005","合同已冻结，运行时待开发"
"INT-A-082","1.9","Dashboard","客户 Profile/修改展示名","L2-L4 员工","目标在可信 customer scope 且 expectedVersion 有效","updateAdminCustomerProfile","M15-US-01","修改 1-100 字客户展示名并追加审计；刷新列表与 Profile","Discord 绑定、用户 ID、钱包、订单和历史备注不可修改；旧版本或跨 Guild 零写入","L2_SUPERVISOR","DOP-06;ACCESS-02","AT-DOP-006","合同已冻结，运行时待开发"
"INT-A-083","2.0","Dashboard","权限管理/员工账户与 Role 同步","L4 员工","近期 step-up；目标员工属于同 Guild","listAdminStaffAccounts;reconcileStaffDiscordRole;approveStaffRoleElevation;updateStaffRole;revokeStaffSessions","现有","每名员工展示有效/待审批级别、最近 Role 同步时间、当前观察 Role、上次错误和队列状态；支持立即持久化对账、异人审批、降权撤权和会话撤销","禁止自批、跨 Guild、越过观察 Role、移除最后 owner；敏感写后旧会话失效并提示重新登录","L4_ADMIN_OWNER","DOP-07;ACCESS-02","AT-DOP-007;AT-DOP-008;AT-ROL-004","已实现"
"INT-W-M16-001","2.0","Dashboard","客户钱包/订单/陪玩结算金额","L1-L4 员工","可见目标对象且 API 返回 canonical CAT 事实","getAdminWalletBalance;listAdminWalletEntries;listSettlementBatches","现有；M16 补充","除充值付款事实外统一显示 CAT；陪玩结算同时显示 CAT 与固定换算 USD","币种、分页或请求失败显示标准错误，不沿用旧客户数据","L1_SUPPORT","REV-01;REV-02","AT-REV-001;AT-REV-002","合同已冻结，运行时待开发"
"INT-W-M16-002","2.0","Dashboard","客户钱包/流水继续加载","L1-L4 员工","首页返回 nextCursor","listAdminWalletEntries","M16-US-01","追加下一页 items，页面 envelope 始终为 items/nextCursor","篡改、过期或跨查询游标返回标准错误且保留已加载数据","L1_SUPPORT","REV-02","AT-REV-002","合同已冻结，运行时待开发"
"INT-B-M17-001","2.1","Discord","公共入口/创建或恢复私密订单频道","客户","已配置入口频道、私密订单分类与客服 Role；Bot 具备频道和消息权限","createOrder;recoverOrderChannel","M17-US-01","统一频道适配器创建最小权限频道，发送、编辑并置顶订单面板；重复点击返回原频道，删除后原子恢复映射","任一 Discord/API 副作用失败清理临时频道并返回 request_id；不改订单状态或资金","Customer;L1-L4 频道范围","BOT-REV-01;ORD-03","AT-BOT-REV-001;AT-CHN-001;AT-ONB-003","合同已冻结，运行时待开发"
"INT-B-M17-002","2.1","Bot Runtime","启动/健康检查与关键 Guild 恢复","运维;客户;员工","环境有效且 Discord/API 可达","getHealth","M17-US-01","配置加载、常驻入口恢复和 API health 完成后 readiness 由 503 变为 200；全量 Role reconciliation 在有界后台执行","关键初始化失败保持非 Ready 并记录 Guild/步骤；终止信号立即退出 Ready","SYSTEM_JOB;Discord Actor","BOT-REV-02;OPS-01","AT-BOT-REV-002;AT-REC-004","合同已冻结，运行时待开发"
"INT-W-M9-019","2.2","Worker","终态订单频道清理与僵尸扫描","SYSTEM_JOB","订单为 COMPLETED 或 CANCELLED，且已到 0–60 分钟配置保留期（默认 60）","confirmOrder;cancelOrder;resolveOrder","M9-US-19","完整回填订单文字频道仍可见消息后，依次删除选秀语音、服务语音和订单文字频道；启动与周期扫描补建遗漏任务","消息读取或 transcript 追加失败不删除；非终态不执行；Discord 404、重复任务和重启均幂等收敛","SYSTEM_JOB","ORD-03;AUD-02","AT-TRN-003;AT-TRN-004","开发中"
"INT-B-M18-001","2.3","Discord","所有用户可见表面/试音匹配术语","客户;陪玩;客服","消息、组件、频道或语音房即将渲染","—","M18-US-01","按语境使用试音、试音匹配、试音房、报名池、确认陪玩与本轮未匹配；内部 Selection 技术名不直接展示","禁词门禁阻止用户可见的选秀文案进入发布；不得通过替换改变内部状态、API 或数据库名称","对应既有权限","EXP-01","AT-EXP-001","合同已冻结，运行时待开发"
"INT-B-M18-002","2.3","Discord","关键流程/品牌横幅与层级化 Embed","客户;陪玩;客服","欢迎、下单、派单、试音匹配、就绪、服务、完成、礼物、取消或客服节点可见","现有对应 operationId","M18-US-01","按密度 preset 使用原创黑猫横幅、语义颜色、单图标字段及标题到页脚的稳定阅读顺序；单屏只突出一个主动作","资金、权限与错误降至低密度；缺失字段显示安全空态；图片失败不改变业务结果并由既有重试恢复","对应既有权限","EXP-02;EXP-03;EXP-05","AT-EXP-002;AT-EXP-003;AT-EXP-005","合同已冻结，运行时待开发"
"INT-B-M18-003","2.3","Discord + Worker","报名、就绪与状态/低噪声原位更新","客户;陪玩;SYSTEM_JOB","同一订单或派单消息已持久化且业务事实发生变化","现有对应 operationId","M18-US-01","原位编辑报名 mention、Reaction 说明、就绪名单和当前进度；沿用稳定业务键、Outbox 与 allowed_mentions 安全策略","重试、重启和重复事件不新增横幅或庆祝消息；编辑失败不猜测业务状态、不回滚已提交事实","对应既有权限;SYSTEM_JOB","EXP-03;EXP-04","AT-EXP-003;AT-EXP-004","合同已冻结，运行时待开发"
"INT-B-M18-004","2.3","Discord","新成员迎新私信与 /welcome 重发","新成员;L2-L4 员工","GuildMemberAdd；或具 ManageGuild 且员工在同 Guild 选择仍为成员的非 Bot 用户","getWelcomeDmContext（仅手动重发授权与安全入口读取）","M18-US-03","自动加入与手动重发复用同一品牌私信，链接到配置的玩家入口；专用 API 不返回完整 Bot 配置；不自动注册或改变业务状态","关闭私信时不公开补发；自动路径结构化记错，手动路径 ephemeral 明示失败；跨 Guild、非成员、Bot、L1 或无权限拒绝","SYSTEM_EVENT；手动 L2_SUPERVISOR（welcome_dm.send）","EXP-02;EXP-03","AT-EXP-002;AT-EXP-003;AT-EXP-006","合同已变更，运行时已实现"
"INT-X-M19-001","2.4","Discord + Dashboard","订单状态跨角色刷新","客户;陪玩;客服","订单或关联报名、参与人、资金、任务事实已由统一 API 成功写入","getOrder;getAdminOrder","M19-US-01","按跨角色状态刷新矩阵同时收敛客户订单面板、陪玩可见信息、客服协同卡和客服工作台；无关消费者不渲染","展示失败由 Outbox 或查询重取恢复；陈旧版本不得覆盖新事实；不重复业务写入","按原对象归属与员工 scope","STATE-01;STATE-02;STATE-03","AT-STATE-001;AT-STATE-002;AT-STATE-003","计划开发"
"INT-X-M19-002","2.4","Discord","已接单/逐人就绪与客服协同","陪玩;客服","订单 ACCEPTED 且存在一个或多个有效陪玩","setOrderReadiness;getOrder","M19-US-03","客户无 readiness 动作；任一陪玩确认或撤销后，客户面板、陪玩视图和客服协同卡原位显示逐人 ✅/⏳、截止时间和全员状态","仍处于 ACCEPTED 也必须更新客服卡；超时只列未确认陪玩并创建唯一任务，不要求客户确认或自动开始","订单参与陪玩;订单客户只读;有权限客服","STATE-01;STATE-03;STATE-04","AT-STATE-001;AT-STATE-002;AT-STATE-004","计划开发"
"INT-X-M19-003","2.4","Dashboard","客服订单与任务主动刷新","L1-L4 员工","员工正在查看有权限的订单、任务或队列","getAdminOrder;listStaffTasks;getStaffTask","M19-US-04","自身写成功立即失效并重取；前台可见详情短轮询；恢复可见立即刷新；保留手动刷新；显示逐人 readiness 和最新任务/资金状态","旧响应不覆盖新对象或版本；页面隐藏暂停轮询；失败保留上次可信事实并明确可重试","L1 本人任务 scope;L2+ 同 Guild scope","STATE-03;STATE-04;STATE-05","AT-STATE-002;AT-STATE-003;AT-STATE-005","计划开发"
"INT-X-M20-001","2.5","API + Discord","订单视图/可信可用动作","客户;当前陪玩;客服","Actor Context 可解析且订单属于可见 scope","getOrder;getAdminOrder","M20-US-02","API 按角色返回 availableActions；客户主面板、陪玩工作台和客服协同卡只渲染各自写动作","陈旧版本或权限变化时拒绝旧动作并回读最新视图；客户端不得自行补动作","按 Actor、对象归属与员工 scope","ACT-01;ACT-03","AT-ACT-001;AT-ACT-003","API 已实现，Discord 待 M20-US-03"
"INT-X-M20-002","2.5","Discord","四步下单与订单主面板/取消","客户","订单为 DRAFT 或任一客户可操作非终态","previewOrderCancellation;cancelOrder;createOrderStaffTask","M20-US-03","每一步可见取消入口；低风险状态预览后二次确认并取消，高风险状态创建或复用客服审核","只在 API 返回 CANCELLED 后显示取消终态；冲突原位刷新；终态不显示取消","订单客户","ACT-01;ACT-02;ACT-03","AT-ACT-001;AT-ACT-003","已实现：四步下单、试音、常驻卡与生命周期均消费 availableActions"
"INT-X-M20-003","2.5","Discord","招募试音、生命周期与工作台/角色动作","客户;当前陪玩;客服","对应订单、报名池或客服任务可见且 API 返回动作","getOrder;closeOrderSelectionPool;finalizeOrderSelectionPool;setOrderReadiness;requestOrderCompletion;confirmOrder","M20-US-03","统一清晰标签、一屏一个主动作、每行至多三个；老板卡无陪玩写按钮；工作台可打开订单并执行本人动作；分页双向","无目标禁用按钮省略；旧 custom ID 明确冲突并刷新；错误保留 request_id","按 API availableActions","ACT-02;ACT-03;ACT-04","AT-ACT-002;AT-ACT-003;AT-ACT-004","已实现：老板/陪玩动作分离、语义标签、双向分页与安全恢复"
"INT-A-084","2.6","Dashboard","订单详情/客服更正订单与席位备注","L1-L4 员工","L1 已认领订单任务或 L2+ 在同 Guild；订单未捕获且非终态","updateAdminOrderNote;updateAdminOrderRequirementNote","M10-US-03 维护扩展","添加、改写或清空订单备注及单席位备注；清空仅改变当前投影，历史更正事件、审计和 Bot 面板同步继续保留；不要求订单进入招募","旧版本冲突刷新；COMPLETED、CANCELLED 或已捕获订单零写入；备注更正不改变价格、预留或收益","L1_SUPPORT（已认领）；L2-L4（同 Guild）","ORD-04;AUD-02;FUND-06","AT-MULTI-015","本地候选"
"INT-D-M21-001","2.7","Discord","完单卡/私密评价中心","订单客户","订单 COMPLETED 且完成时间不超过 24 小时","getOrderExperienceReview","bc:r:{orderId}:o","完单卡提供一个评价入口；ephemeral 中展示订单整体、每位有效陪玩和存在真实响应时的实际客服，全部可选；最快一次星级点击即可保存整体评价","过期、非本人或不可评价时明确关闭入口；读取失败保留 request_id；不公开任何评价事实","订单所有者","REVIEW-01;REVIEW-03","AT-REVIEW-001;AT-REVIEW-002","M21-US-03 运行时已实现；真实 Guild UAT 待 M21-US-05"
"INT-D-M21-002","2.7","Discord","评价中心/目标与星级组件/可选留言 Modal","订单客户","API 返回当前可评价目标与已保存事实","createOrderExperienceRating;appendOrderExperienceReviewComment","bc:r:{orderId}:o{score};bc:r:{orderId}:t{page}:{signedState};bc:r:{orderId}:s{score}:{signedState};bc:rc:{orderId}:{reviewId}","可一次选择多个未评价目标给相同星级，也可逐目标给不同星级；星级成功即保存且退出不丢失；留言始终可选并另行追加","同目标重复或陈旧组件回读最新状态且不重试写入；伪造目标、过期或超过 500 字零写入；低分不强制选原因或留言","订单所有者","REVIEW-02;REVIEW-03","AT-REVIEW-001;AT-REVIEW-002;AT-REVIEW-004","M21-US-03 运行时已实现；真实 Guild UAT 待 M21-US-05"
"INT-D-M21-003","2.7","Discord + 好评频道","评价中心/五星公开预览与确认","订单客户","至少一个已保存五星目标且尚未创建公开快照","publishOrderFiveStarReview","bc:r:{orderId}:v;bc:r:{orderId}:y;bc:r:{orderId}:n","先展示只含五星对象和安全订单摘要的预览；老板明确同意公开后创建一张聚合展示卡并由 Outbox 幂等投递","未同意、无五星或配置缺失均不公开；不得公开一至四星、留言、未评价或非五星对象、客户身份、金额、钱包、私密频道和内部客服身份","订单所有者；频道投递由受限 Worker","REVIEW-04","AT-REVIEW-003;AT-REVIEW-004","运行时、隐私、恢复自动门禁与真实 Guild Worker 播报/重放/删卡恢复 UAT 已通过；老板端移动交互由 M21-US-05 外部验收"
"INT-G-M22-001","2.8","Discord","礼物频道/置顶送礼常驻消息","老板","已配置 gift_entry_channel_id；gift_requests_enabled；Bot 有频道与消息权限","getStandaloneGiftCenter","bc:g2:o","Bot 启动与配置变化确保一条置顶 Embed；提供送礼物、查看猫条、充值帮助；点击后仅 ephemeral 展开","配置缺失、跨 Guild、权限不足或消息创建失败时失败关闭并结构化告警；不回退到订单或其他公共频道","已绑定客户；入口公开但数据私密","GIFT2-01;GIFT2-04","AT-GIFT2-001;AT-GIFT2-004","M22-US-03 计划开发"
"INT-G-M22-002","2.8","Discord","独立送礼/陪玩、礼物与匿名选择","老板","统一 API 返回同 Guild ACTIVE 陪玩、ACTIVE CAT 礼物及最新余额","getStandaloneGiftCenter;checkStandaloneGiftAffordability","bc:g2:p:{signedState};bc:g2:c:{signedState};bc:g2:a:{signedState}","选择一位陪玩和一种礼物；公开为默认，匿名赠送为可选一次切换；签名状态绑定 Guild、老板、目标、目录版本、价格和过期时间","目标/目录变化、token 篡改/过期或换用户时回读最新中心且零写入；不得接受 receiverId","已绑定客户本人","GIFT2-01;GIFT2-02;GIFT2-03","AT-GIFT2-001;AT-GIFT2-002;AT-GIFT2-003","M22-US-03 计划开发"
"INT-G-M22-003","2.8","Discord","独立送礼/余额续接与最终确认","老板","已选陪玩、礼物和署名方式","checkStandaloneGiftAffordability;createStandaloneGiftRequest","bc:g2:r:{signedState};bc:g2:y:{signedState};bc:g2:b:{signedState}","余额不足显示差额、充值帮助、刷新余额和返回并保留选择；余额充足显示金额与最终确认；确认后创建预留和客服任务","刷新不代表充值成功；最终事务余额不足、并发冲突、陪玩/价格失效均零写入；成功不立即捕获或播报","已绑定客户本人","GIFT2-01;GIFT2-02;GIFT2-03","AT-GIFT2-001;AT-GIFT2-002;AT-GIFT2-003","M22-US-03 计划开发"
"INT-G-M22-004","2.8","Discord","客户消息右键/客服辅助送礼","L1-L4 客服","老板本人在同 Guild 消息中明确请求送礼；客服已登记 TOTP 且有 gift.assist","createStaffGiftAssistChallenge;getStaffGiftAssistChallenge;checkStaffGiftAssistAffordability;createStaffAssistedGiftRequest","消息右键菜单 协助此老板送礼;bc:ga:r:{challengeId};bc:ga:g:{challengeId}:{playerProfileId};bc:ga:b:{challengeId};bc:ga:f:{signedState};bc:ga:p:{signedState};bc:ga:a:{signedState};bc:ga:m:{p|a}:{signedState}","API 从消息作者解析老板；客服私密选择陪玩、礼物和可选匿名；最终 Modal 填必填原因与六位 TOTP 后直接预留老板余额并创建客服任务","无权限/MFA、非客户消息、跨 Guild、余额不足、错误 TOTP、五次失败、过期、权限版本变化或重放均失败关闭且零预留；不记录验证码","gift.assist；客服本人 TOTP","GIFT2-05","AT-GIFT2-005","M22-US-04 自动化候选完成；真实 Guild 桌面/手机 UAT 待外部签署"
